id,x,y,deg,group
015_7,s-0.818717692136632,s1.5948778150002172,s20.483415037827115,15
015_8,s-2.1092142456813363,s0.32735842882043265,s293.63057380037753,15
015_9,s-1.669744192442513,s1.3115112857084628,s54.682169351041296,15
015_10,s-0.1524894311034365,s0.34675983781128183,s113.40213476438312,15
015_11,s-0.2589239867088439,s1.5320343032329702,s336.3119151618207,15
015_12,s-0.6851045904386063,s0.6781347529146187,s148.3501000194072,15
015_13,s-1.3107288966352533,s1.9768970350747883,s113.99551532283108,15
015_14,s-0.4019419805733966,s2.0614565113164076,s66.37057087894385,15
016_0,s0.2106239366636743,s1.602816079717522,s246.18880850306346,16
016_1,s1.1010150277575834,s0.9687649143955672,s66.18707399369981,16
016_2,s0.21086141955437124,s0.391672122306604,s247.29929886869945,16
016_3,s2.2335304390870343,s1.5687529524343868,s66.1877799943901,16
016_4,s1.3389414517031257,s0.4498969846814057,s246.01290371127448,16
016_5,s0.2106225692285081,s1.0158952902724354,s246.18699042992853,16
016_6,s1.1065226726977442,s2.1335394039004703,s66.22333157747897,16
016_7,s2.2335313526089573,s0.9817488126108719,s66.18602359773547,16
016_8,s1.3534016430288052,s2.19398791571952,s247.37051069305323,16
016_9,s1.344555590997723,s1.0252434915126867,s246.1860228632354,16
016_10,s0.2109231610744568,s2.1930802886669745,s246.22883689606897,16
016_11,s1.0996194359802642,s1.5593244977095484,s66.18891966415913,16
016_12,s2.23333662439527,s0.3896918746326826,s66.01332188741713,16
016_13,s1.3431599890896169,s1.6158134814638963,s246.18782635949287,16
016_14,s1.0911119999589196,s0.39069287456034785,s67.37688100384935,16
016_15,s2.2329563665455083,s2.1936593441705425,s67.35646075117717,16
017_0,s0.21573974338329824,s1.1812015737628256,s249.48090798560486,17
017_1,s1.147583499950687,s0.25846754853531173,s113.62935827727772,17
017_2,s0.32286208573042136,s0.15111832959324265,s23.62404054678564,17
017_3,s1.4570124690770179,s0.39095141498855174,s235.4987840535312,17
017_4,s0.735057286627817,s2.12565551863246,s66.37062226933541,17
017_5,s0.7596123416219739,s1.3219369361693236,s344.0523431876883,17
017_6,s2.0141233061671984,s1.2849300109382695,s30.62402317933919,17
017_7,s1.78104920039327,s1.0244029195517985,s129.63309386708676,17
017_8,s1.7161138810415042,s2.120851795151723,s291.58378145406607,17
017_9,s1.167028301685941,s1.1774012860472935,s174.7701897947859,17
017_10,s2.1899745036503386,s1.7115731687678748,s336.370622269347,17
017_11,s1.2106354824742473,s2.2403281067085206,s174.8482060779977,17
017_12,s0.37152184297681434,s1.6248757571882877,s24.036744117967434,17
017_13,s0.788146174087375,s0.5709694482497848,s69.49594986900246,17
017_14,s2.185788732135684,s0.7823314042355191,s336.11351418515164,17
017_15,s2.3033307270163634,s0.24364245734870404,s55.49195648329885,17
017_16,s1.4195905263078468,s1.3555397091152215,s354.84699842169357,17
018_0,s0.21065307450922657,s0.34343140259805666,s246.3712038692546,18
018_1,s2.1918569928675655,s1.7170673347462515,s331.99338247768037,18
018_2,s1.0772517362314893,s2.1509651908094396,s304.52501467518186,18
018_3,s0.7610384710169997,s2.274317004947937,s70.56670753203298,18
018_4,s2.25830754306908,s0.23606760724467157,s336.3703783970377,18
018_5,s1.7461222606940199,s2.0201476439838575,s116.28566930116587,18
018_6,s1.8608866258462127,s2.244145755012742,s296.1560018182007,18
018_7,s0.8315075896072437,s1.1808255426453969,s77.51874495956474,18
018_8,s1.3516885318504352,s0.3434319731630234,s246.37302610455845,18
018_9,s0.3180285715035375,s1.8163158504639596,s23.62966604758543,18
018_10,s0.7154717796257555,s0.6523581914052095,s218.09554968019484,18
018_11,s1.7471779326184624,s0.5678740008026433,s293.45979052071607,18
018_12,s0.41992693844942797,s0.7122337546665491,s31.882367980422316,18
018_13,s2.366777006231672,s1.2353839490505132,s117.14670147975926,18
018_14,s1.1843133417654885,s0.7033365328936029,s304.611881194956,18
018_15,s0.9344087490701314,s1.77464131808093,s118.1464032029895,18
018_16,s1.9614295744833472,s1.4530868149606828,s76.46786953513526,18
018_17,s1.069868135724301,s1.331539212760655,s257.5633980128348,18
019_0,s0.8096577846172335,s1.4001569995351684,s327.59683859711737,19
019_1,s1.9013398720985843,s0.4897198728700821,s245.60627878321088,19
019_2,s0.40095835601422913,s1.5381878599496923,s23.631560394896837,19
019_3,s0.6060428547886638,s1.9410104189950443,s336.7492214869795,19
019_4,s1.066126129757286,s1.148560139458356,s238.63468091062055,19
019_5,s0.40105730848872645,s0.3639522133415261,s23.634118177643074,19
019_6,s1.2547582429343176,s2.5606870317966894,s154.80084828619374,19
019_7,s0.7096465323310618,s0.8704492340668342,s51.85991318066346,19
019_8,s1.6336163394149021,s0.4494601792051945,s58.634675519167786,19
019_9,s2.3121268710761385,s1.8606370608270921,s28.58403397051478,19
019_10,s1.637310295378312,s2.4475530904510734,s208.58388044419667,19
019_11,s0.7680637219177432,s0.5667419477053266,s238.66441362554178,19
019_12,s2.0012828865147276,s1.4255091431962472,s35.315055177905094,19
019_13,s2.0649730436795224,s0.9443409961763083,s67.6697735337641,19
019_14,s1.4049884555649126,s1.4493088659086335,s0.6799444417294467,19
019_15,s2.5136887990649774,s2.474986458382605,s67.12330492054957,19
019_16,s2.3929261978343397,s0.8774641870897232,s204.6915917006295,19
019_17,s2.40645658417075,s1.2961527956165542,s336.3709300602013,19
019_18,s0.29321080587992215,s2.4588803074513774,s295.0380764516783,19
020_0,s1.1704376157136223,s2.431192980635144,s107.11912154171984,20
020_1,s0.23839283852011628,s2.4404880086491803,s292.50386949531503,20
020_2,s0.30885304885462694,s2.049389088262613,s200.77455078081198,20
020_3,s0.32422254827858205,s1.1490976141381921,s21.25202932276403,20
020_4,s0.8900307125885194,s1.9789339179835859,s206.12927371388957,20
020_5,s2.018709258478044,s1.5664878390415686,s70.3175503179624,20
020_6,s2.4063918140109166,s1.6135756119069853,s336.3761824462506,20
020_7,s2.515661389141622,s0.4052486104970078,s118.7690939251134,20
020_8,s0.8263827436056242,s0.34087908066018513,s246.3707756554129,20
020_9,s1.8016189293092342,s1.0916239620741321,s215.5386259026685,20
020_10,s2.5135144485729133,s2.441965133515088,s67.37732899722107,20
020_11,s1.857433429908078,s0.36913559527998185,s83.12666336856557,20
020_12,s0.943901823859151,s1.1011563661026278,s26.129206152834456,20
020_13,s2.144995781648838,s2.1605880446074828,s112.48045773191393,20
020_14,s1.6539022767496405,s2.529894140826734,s150.61951219458302,20
020_15,s0.30226349326203983,s0.23451060174355293,s23.629334037187732,20
020_16,s1.0839430502219338,s0.8009798700317096,s264.1632735148237,20
020_17,s2.3564384974661343,s1.2161295112768034,s207.5991215036031,20
020_18,s0.7378062981023344,s0.7054097418006449,s70.83693045275447,20
020_19,s1.5316254610539375,s1.1911420436428515,s26.445071471753863,20
021_0,s1.7854972038671515,s1.4340433316494234,s285.0769604408076,21
021_1,s0.3240141141097469,s2.5062204730840936,s204.3266649197202,21
021_2,s0.32592453563494317,s1.628971655984585,s23.626699963988983,21
021_3,s1.9711370428052513,s0.38935183211325697,s357.9042555518904,21
021_4,s0.6086535507761459,s1.179011217886707,s315.85268616393876,21
021_5,s2.6036330782628405,s0.2944927242227438,s113.62911503495343,21
021_6,s2.496177668527142,s1.2089728104326969,s336.36334443215304,21
021_7,s0.7213002026090625,s0.7414937549126923,s199.59350372599135,21
021_8,s2.471133904809372,s2.06425671432457,s334.39169171753343,21
021_9,s2.523944898010836,s0.6721975677211469,s43.272663491764895,21
021_10,s1.9835706235004438,s2.457700179841004,s293.93740589359356,21
021_11,s1.1379524088166464,s0.8564822213357295,s358.07944673526436,21
021_12,s0.978692705832459,s2.093831613570641,s146.2556467365299,21
021_13,s1.7081227454293686,s2.493854710350673,s123.51408669236207,21
021_14,s0.2699227105138841,s0.2945829406094242,s246.37077410121194,21
021_15,s1.1682604969157768,s0.3244475758352033,s246.6815989446527,21
021_16,s1.826229537685162,s2.0624834917511086,s239.30384332852694,21
021_17,s0.3257470294531225,s1.0696340359171084,s156.37072994023288,21
021_18,s1.389879427719496,s1.889858413363554,s185.87613537550897,21
021_19,s0.7819545238151508,s2.465009449698129,s293.63002898606373,21
021_20,s1.598975333954403,s1.0894017469107133,s177.90436169705774,21
022_0,s0.5638674557589568,s0.5496445302806545,s339.70689191575934,22
022_1,s1.5837001514623477,s0.6517811029553774,s312.2155704975037,22
022_2,s0.3034778180814096,s1.442672077969697,s316.4716638740633,22
022_3,s2.507910022117519,s2.131057585823534,s332.2649278692613,22
022_4,s0.8314648781717536,s2.2774180714270713,s244.7613277928034,22
022_5,s2.6668955187480012,s0.2709219410893202,s113.62174415850542,22
022_6,s0.20419784368841026,s0.2711336839584498,s246.449739304614,22
022_7,s0.31170020256867975,s1.1402647205961731,s156.4303887286867,22
022_8,s2.0976672487383943,s1.4559612305817313,s124.32823245868917,22
022_9,s2.556106074188314,s0.8808857416205341,s337.54977175941804,22
022_10,s1.4526355798117332,s1.515645626020744,s304.32772948796355,22
022_11,s2.5463985890090695,s1.8080620215298735,s162.51208374137423,22
022_12,s1.1891704419718288,s1.321561489256387,s187.8395785190803,22
022_13,s1.6717848115811953,s2.201836348400149,s249.42323650046683,22
022_14,s1.5727213644746691,s2.5178357319800844,s66.2857536595003,22
022_15,s1.1133424017277374,s1.7870711262365209,s137.71978800670604,22
022_16,s2.0204337252384175,s2.51886837654731,s293.6080218584689,22
022_17,s0.7145112849766431,s2.4983857804063545,s64.75973886284777,22
022_18,s0.32755763100383817,s1.994451413134245,s19.440369122680636,22
022_19,s2.30575456684094,s0.7678672428599436,s157.5439506040359,22
022_20,s1.1238233202920889,s0.3383885316096314,s18.627145419653004,22
022_21,s1.7786263056502372,s0.2709023754525093,s113.6296714926653,22
023_0,s0.2428971472103032,s0.9277653839656435,s283.4940312566098,23
023_1,s1.2330093992674487,s0.9246601757495484,s104.3725825094894,23
023_2,s1.9761089365293638,s2.246087358282992,s232.10999633712925,23
023_3,s1.6613412391570141,s1.8605757671448413,s85.81459327231244,23
023_4,s0.24400151383958443,s0.3533376234514592,s294.57105388878335,23
023_5,s0.9497368635963208,s1.4482891189134208,s103.49346645158238,23
023_6,s0.7627578487690064,s2.624474597767866,s66.17769531034651,23
023_7,s1.8992890176448385,s2.4950776740384066,s55.56401586333198,23
023_8,s1.8013043098267563,s1.2028657960534193,s210.9255183816266,23
023_9,s0.3538904681037699,s2.1455691871406106,s22.86950846779291,23
023_10,s0.49050854737660066,s1.8424261264406143,s144.9890646870939,23
023_11,s0.7205810090410483,s2.146969350476879,s272.3329189730814,23
023_12,s1.0414343591253572,s2.6588915548831205,s235.57462798120523,23
023_13,s2.622822184791059,s0.248324141029979,s336.37038639943376,23
023_14,s1.1178365149719636,s0.36808170282261893,s114.57028333008935,23
023_15,s2.2099066956449733,s2.6269382742877396,s293.629058150712,23
023_16,s1.899366607746571,s1.6344053986097828,s276.59004873511935,23
023_17,s2.6228144050350344,s1.298344058060131,s336.3700089981728,23
023_18,s2.6138872473424595,s2.1533629414335174,s339.1732838591978,23
023_19,s2.1330710991816906,s0.2677761541480723,s41.64390252967627,23
023_20,s1.5026864946142484,s1.2698140861841112,s42.35257443568366,23
023_21,s1.5349230480142266,s0.23868777214050493,s2.9292067716373253,23
023_22,s2.499344492614291,s0.7879573497283803,s30.925709724952412,23
024_0,s0.328873650858969,s0.7807400456499201,s159.79721061613213,24
024_1,s2.253281845325112,s2.144910385408019,s83.2560001833416,24
024_2,s0.7627502979873672,s0.744931066483748,s350.1004447415875,24
024_3,s1.786747833606096,s1.044824290356636,s151.59613890939158,24
024_4,s2.641164326203807,s1.875282833892691,s155.8003743364534,24
024_5,s1.51652723326619,s1.479587341234685,s293.4450852944756,24
024_6,s0.283152285607926,s1.942214745451796,s215.2112122113915,24
024_7,s2.031891855185212,s1.158987794210041,s335.71805975428555,24
024_8,s0.800266940803042,s2.252079857205948,s174.14390130749553,24
024_9,s2.230102426717353,s2.6368623624480367,s294.09341784309527,24
024_10,s1.951539019897328,s2.669652832258781,s124.69086097041759,24
024_11,s0.791159840835389,s2.63737129001542,s68.69081548147199,24
024_12,s2.6395908619114143,s0.998905219765355,s336.35805553275014,24
024_13,s2.421434273127821,s0.8758727872843759,s156.2127534132146,24
024_14,s0.317846054371682,s2.229057334414235,s23.629372313591375,24
024_15,s0.759257360137094,s0.32131651510863,s113.65089278379891,24
024_16,s2.74670987096968,s0.361486418233889,s116.82738301822815,24
024_17,s1.760024381578425,s0.211826049486217,s331.59613890939363,24
024_18,s1.096146592119228,s2.504606236050321,s304.69097707653646,24
024_19,s0.458475319337729,s1.086778081152331,s35.211021174772384,24
024_20,s1.174524142008902,s1.98301160183586,s269.83032989008143,24
024_21,s1.196802219622426,s0.20305758608582,s357.7348622829507,24
024_22,s1.289373989964711,s1.094043857682243,s31.750611820083293,24
024_23,s2.5933769722444078,s2.136964364926688,s336.0455787021506,24
025_0,s1.5243962305658838,s1.4439597485612659,s329.9566770042745,25
025_1,s2.6871802651281964,s0.32115001139074245,s113.62937841658436,25
025_2,s1.0758743837670524,s0.8936647242642465,s202.61419022402617,25
025_3,s2.4449028954795105,s1.3969603600285905,s109.935308944716,25
025_4,s2.698762576879851,s1.792251748940359,s206.3051122757631,25
025_5,s2.7022391483230175,s0.646485047851243,s1.725576853437701,25
025_6,s2.839990724698734,s2.7323678703276726,s66.37062187577317,25
025_7,s1.728655121737939,s0.21040857694568885,s350.4491486400269,25
025_8,s0.731855821196585,s2.7242204521508784,s65.94221532292897,25
025_9,s0.7199290300292791,s0.6916602143785011,s64.0225648705919,25
025_10,s1.3146173237495948,s1.891970172357403,s67.31034162794413,25
025_11,s0.33636262852971693,s1.182967526406205,s23.899648063937036,25
025_12,s1.6195233056320382,s1.1422250301034975,s166.18136454725834,25
025_13,s1.1621309679631666,s1.406431864239756,s122.23773952183979,25
025_14,s2.208908651335874,s0.9311816793119101,s170.4475057442171,25
025_15,s2.7298501803308897,s2.06144291080002,s33.37128509408126,25
025_16,s1.597586262734349,s2.7286907561080924,s66.09882843612428,25
025_17,s2.227216116226042,s1.956005018348152,s149.95657921140435,25
025_18,s0.32163713092591323,s2.243741967186238,s23.5642603824582,25
025_19,s1.506433638525043,s2.301697994912913,s260.8745346818878,25
025_20,s0.6816385368335491,s1.6838007136672541,s58.33183288801075,25
025_21,s0.3299683836864245,s0.2147149217793266,s19.85250858336451,25
025_22,s1.9337824255467844,s2.729321012902601,s219.27737353614336,25
025_23,s0.783968189922203,s0.3601112560905732,s243.66679723984691,25
025_24,s1.2072644612948047,s2.495107891291559,s110.85146436179446,25
026_0,s1.5150608203326634,s2.2431951390888027,s36.05417834870343,26
026_1,s1.9550716132045463,s2.0513921010978944,s321.9287604506412,26
026_2,s1.7251050008590902,s2.803631985717357,s66.27845226665039,26
026_3,s1.855703377228719,s1.7042025853124423,s213.4245827410307,26
026_4,s1.1617326520486964,s0.8798570044743115,s215.81493061083881,26
026_5,s2.7565623340084646,s0.32399580322657817,s113.90224033551033,26
026_6,s0.7664571255062598,s2.8640480341520744,s213.1667422533801,26
026_7,s1.33149955712377,s1.424075929316933,s332.2050124987345,26
026_8,s0.32323091585825714,s0.21309581615818646,s23.880163519935593,26
026_9,s0.3287213455564299,s2.911748019480288,s160.19892609304907,26
026_10,s0.46490832494285916,s2.316801949570964,s258.9705242118672,26
026_11,s2.4795584428625332,s1.194089236864228,s312.7947307500534,26
026_12,s1.949153136729384,s0.22304218189131414,s38.22170855804944,26
026_13,s2.804165199943067,s0.7054552000373108,s336.43542981052667,26
026_14,s2.793709739465217,s2.911960684607148,s161.17226007852162,26
026_15,s0.8251129357966828,s1.753553358188307,s290.7747780083655,26
026_16,s1.629872727166696,s1.140981170469401,s255.66104358949542,26
026_17,s2.2574365940478622,s2.907824611845723,s141.75259186749145,26
026_18,s0.8282776772286958,s0.5570834387648643,s67.18020851046549,26
026_19,s2.4425535698457703,s1.6501974321464352,s3.8232827498039796,26
026_20,s2.392521664723883,s0.6477239229428211,s75.67497371830336,26
026_21,s0.9471301419956627,s0.32051156597951386,s246.37106693187445,26
026_22,s1.0219911602953298,s1.3442914488101638,s131.674508675403,26
026_23,s2.8042849514861246,s1.994146194688678,s336.36964355349096,26
026_24,s0.3276194538845788,s1.0796400395690844,s24.224358812785226,26
026_25,s0.32955296822935837,s1.942491708641333,s204.2244826276334,26
027_0,s2.0053841326629374,s0.35919449686197946,s245.13712083672192,27
027_1,s0.3390437285039499,s1.1059585998985833,s22.69075070012542,27
027_2,s1.6412069431246499,s1.5222395863945537,s321.01587475773226,27
027_3,s1.5881893636178024,s0.34302012340455307,s113.6177042795033,27
027_4,s2.20022605515212,s1.064268512277815,s329.1106310254843,27
027_5,s1.8476123878677968,s2.794585849295749,s63.41820462475573,27
027_6,s2.3685022499678103,s0.669108222664104,s290.04361211710716,27
027_7,s2.7977936957845646,s2.237942184846235,s174.59263075821366,27
027_8,s2.4109054573073974,s1.9784826957053079,s141.04606489085307,27
027_9,s2.825741035334638,s1.1703629988590962,s336.37062365719726,27
027_10,s0.7019702959686612,s2.303032410208779,s276.9416302562113,27
027_11,s1.9468138502921222,s0.6885824932574689,s16.828401410183858,27
027_12,s2.8256768619348036,s0.23560446869917132,s336.3659483668414,27
027_13,s0.33539582522686384,s1.9929708135873638,s204.2063767359881,27
027_14,s1.3125154392440261,s1.6220378429314395,s64.80854863123034,27
027_15,s1.3705779678961891,s1.2581604997324154,s196.82823233342594,27
027_16,s0.557555058116635,s0.9715360524940142,s200.57422039634457,27
027_17,s0.7310392314227397,s2.792726778673806,s63.29002168506344,27
027_18,s2.8252096184081554,s2.9391028399595833,s203.45530928230335,27
027_19,s1.808561966083654,s2.3479023602680162,s271.537270261319,27
027_20,s0.9775613187743467,s2.837238292615714,s243.41785455609397,27
027_21,s0.3462397653316247,s0.24080726720885787,s23.561442244385944,27
027_22,s1.6071395264348294,s2.1391462923469793,s96.88948203687858,27
027_23,s1.127350536553384,s0.7844932567232972,s160.60538054654978,27
027_24,s0.36427316017536115,s2.294753966727202,s24.2545954564103,27
027_25,s0.9543348243169918,s1.12615672225699,s21.3888221718492,27
027_26,s2.13222764962134,s2.853561407321412,s238.67559211534012,27
028_0,s1.122401,s1.4098082,s44.686337,28
028_1,s1.4196718,s0.5428092,s76.97088,28
028_2,s0.67568403,s2.774206,s57.532063,28
028_3,s2.4309187,s2.878954,s-69.1355,28
028_4,s0.33896685,s2.270247,s24.517406,28
028_5,s2.1306832,s2.566938,s-142.05008,28
028_6,s0.407174,s0.7042072,s149.45369,28
028_7,s0.30532604,s1.988296,s-150.54306,28
028_8,s0.7284926,s2.4428914,s-153.2599,28
028_9,s1.039283,s2.9780965,s-156.66762,28
028_10,s2.9231553,s1.9180688,s38.297565,28
028_11,s1.3835766,s1.82005,s26.377855,28
028_12,s1.8227746,s0.32098413,s113.49519,28
028_13,s0.3286153,s1.0852039,s24.161743,28
028_14,s1.4942687,s1.0949726,s-13.847763,28
028_15,s1.6911368,s0.73964,s-69.32887,28
028_16,s2.0429726,s1.1928558,s-10.150302,28
028_17,s1.8908578,s2.1402104,s175.01181,28
028_18,s2.1249545,s0.45980114,s-124.76603,28
028_19,s0.89409393,s0.32097593,s113.653885,28
028_20,s0.6628019,s1.031144,s-102.49607,28
028_21,s2.0073283,s2.8817506,s66.085,28
028_22,s2.5762944,s1.4640925,s25.14326,28
028_23,s2.6957743,s0.62303007,s22.664701,28
028_24,s1.6740239,s2.371627,s23.253035,28
028_25,s2.8934221,s1.1168598,s-20.140825,28
028_26,s2.9008963,s2.4666665,s-23.43374,28
028_27,s2.9013295,s0.21752217,s-23.616308,28
029_0,s0.8144303734685547,s0.335970067387438,s108.31468156410108,29
029_1,s1.6374346394315147,s0.3720939373282702,s116.09530335940553,29
029_2,s2.6928986449526935,s0.8389318222750434,s156.37043690784708,29
029_3,s2.6549360732398535,s2.687866566679682,s164.15443839257398,29
029_4,s3.0185721662051788,s0.3241521622635217,s113.62975501209985,29
029_5,s0.3215590553034483,s2.1537857487826884,s344.46067577648137,29
029_6,s0.7710625832019247,s3.092956343679028,s173.19622272236427,29
